#lemma	stem
wotkaz	wotkaz
tematika	tematik
licenca	licenc
awtor	awtor
edit	edit
překupc	překupc
dynastija	dynastij
zamóženje	zamóženj
wobchod	wobchod
wočakowanje	wočakowanj
zdaće	zdać
wiki	wiki
bazar	bazar
dokument	dokument
biblioteka	bibliotek
zarjadnišćo	zarjadnišć
wobstaranje	wobstaranj
zadźěłanje	zadźěłanj
archiwizowanje	archiwizowanj
spřistupnjenje	spřistupnjenj
literatura	literatur
wozjewjenje	wozjewjenj
wotrjad	wotrjad
předewzaće	předewzać
wužiwanje	wužiwanj
zapis	zapis
kniha	knih
přizjewjenje	přizjewjenj
knihownja	knihownj
wobstatk	wobstatk
čitarnja	čitarnj
instutut	instutut
rumnosć	rumnosć
wupožčenje	wupožčenj
postajenje	postajenj
zasada	zasad
njedźela	njedźel
nowiny	nowin
medija	medij
žórło	žórł
wotběh	wotběh
podlěšenje	podlěšenj
překročenje	překročenj
wupožčer	wupožčer
napominanje	napominanj
wuspěch	wuspěch
žadanje	žadanj
wobmjezowanje	wobmjezowanj
časopis	časopis
dispozicija	dispozicij
periodikum	periodikum
lětopis	lětopis
wuwzaće	wuwzać
eksemplar	eksemplar
drohoćinka	drohoćink
nawod	nawod
našmórnjenje	našmórnjenj
škoda	škod
zhubjenje	zhubjenj
bibliografija	bibliografij
kopěrak	kopěrak
prawo	praw
zamołwitosć	zamołwitosć
zranjenje	zranjenj
kopija	kopij
pomoc	pomoc
scanner	scanner
reprodukcija	reprodukcij
požćonk	požćonk
požčonk	požčonk
wotrjadnik	wotrjadnik
kolega	koleg
posłužba	posłužb
popłatk	popłatk
płaćiwosć	płaćiwosć
pismo	pism
zwuk	zwuk
sada	sad
narod	narod
epos	epos
sumerišćina	sumerišćin
akkadšćina	akkadšćin
zasydlowanje	zasydlowanj
rozšěrjowanje	rozšěrjowanj
kmjen	kmjen
měsačk	měsačk
aramejšćina	aramejšćin
jubilej	jubilej
słowjanski	słowjanski
kontakt	kontakt
klik	klik
wopisanje	wopisanj
formalnosć	formalnosć
nowy	now
wikipedija	wikipedij
dźěło	dźěł
encyklopedija	encyklopedij
knježerstwo	knježerstw
sejm	sejm
monarch	monarch
załožk	załožk
templ	templ
srjedźišćo	srjedźišć
hórka	hórk
přechad	přechad
zdźěla	zdźěl
embryo	embry
stadij	stadij
znamješko	znamješk
pisak	pisak
tafla	tafl
linija	linij
kašćik	kašćik
kónčk	kónčk
kusk	kusk
dokonjanosć	dokonjanosć
starowysokoněmske	starowysokoněmsk
pochad	pochad
fakt	fakt
rozměr	rozměr
wino	win
dótknjenje	dótknjenj
štwórćina	štwórćin
kopica	kopic
ocean	ocean
cirkulacija	cirkulacij
powětr	powětr
wjedro	wjedr
nahlad	nahlad
alga	alg
studija	studij
propagacija	propagacij
silikat	silikat
mezopotamiska	mezopotamisk
zmysl	zmysl
runina	runin
technologija	technologij
powodźenje	powodźenj
polo	pol
wjerch	wjerch
kotryž	kotryž
ruka	ruk
kanalizowanje	kanalizowanj
rólnistwo	rólnistw
etat	etat
organizacija	organizacij
aparat	aparat
njewólnik	njewólnik
naturalija	naturalij
swójstwo	swójstw
najenk	najenk
wukon	wukon
slěbro	slěbr
dataja	dataj
šlešćina	šlešćin
dialekt	dialekt
linguistik	linguistik
ratar	ratar
produkt	produkt
žiwidło	žiwidł
tekstilija	tekstilij
měšnik	měšnik
wliw	wliw
tribut	tribut
dawk	dawk
ležownosć	ležownosć
wobsydstwo	wobsydstw
lěpšina	lěpšin
póda	pód
zelenina	zelenin
łočica	łočic
pěst	pěst
pěstk	pěstk
internet	internet
ministerstwo	ministerstw
wóska	wósk
ekliptika	ekliptik
nuhel	nuhel
fenomen	fenomen
počas	počas
perioda	period
klimat	klimat
hódnota	hódnot
rytmus	rytmus
nalěćo	nalěć
dohlad	dohlad
rozdźěl	rozdźěl
zarjadowanje	zarjadowanj
inteligenca	inteligenc
termin	termin
póndźela	póndźel
tema	tem
diskusija	diskusij
zajimc	zajimc
durje	durj
wopytowar	wopytowar
rozprawa	rozpraw
swojoraznosć	swojoraznosć
serbšćina	serbšćin
čěšćina	čěšćin
pólšćina	pólšćin
słowakšćina	słowakšćin
wuraz	wuraz
situacija	situacij
idiom	idiom
režiser	režiser
widejoklip	widejoklip
recitacija	recitacij
baseń	baseń
nahrawanje	nahrawanj
woznamjenjenje	woznamjenjenj
zjeće	zjeć
kontinent	kontinent
definicija	definicij
plata	plat
masa	mas
nastupanje	nastupanj
kupa	kup
přestrjeń	přestrjeń
kilometer	kilometer
redakcija	redakcij
ćišć	ćišć
bibliotekar	bibliotekar
slawist	slawist
nakładnistwo	nakładnistw
publikacija	publikacij
poćah	poćah
rum	rum
wosobina	wosobin
přiroda	přirod
brošurka	brošurk
přinošk	přinošk
zběrnik	zběrnik
tydźenik	tydźenik
dźenik	dźenik
recensija	recensij
wersija	wersij
přistup	přistup
wobsah	wobsah
wuběrk	wuběrk
wobnowjer	wobnowjer
oktober	oktober
klasikar	klasikar
sorabistika	sorabistik
hladanje	hladanj
ćišinski	ćišinski
předstajenje	předstajenj
wujasnjenje	wujasnjenj
moderna	modern
fundus	fundus
přepytownje	přepytownj
interpretacija	interpretacij
cyłk	cyłk
rysowanka	rysowank
moler	moler
mišter	mišter
stoł	stoł
format	format
administrator	administrator
zastupnik	zastupnik
serwer	serwer
škit	škit
dobro	dobr
tekst	tekst
molekul	molekul
teorija	teorij
typ	typ
wodźik	wodźik
por	por
elektron	elektron
róžk	róžk
tetraedr	tetraedr
potrjeba	potrjeb
elekron	elekron
pikometer	pikometer
prezident	prezident
pozicija	pozicij
srjeda	srjed
předsudk	předsudk
stereotyp	stereotyp
doktorandka	doktorandk
insitut	insitut
wuslědk	wuslědk
disertacija	disertacij
započatk	započatk
alfabet	alfabet
rěčnik	rěčnik
pismik	pismik
gramatikar	gramatikar
sanskrit	sanskrit
stopjeń	stopjeń
podlěšenski	podlěšenski
róst	róst
korjeń	korjeń
hesło	hesł
połwokal	połwokal
likwid	likwid
nazal	nazal
subkontinent	subkontinent
monsun	monsun
mej	mej
přibrjoh	přibrjoh
juhozapad	juhozapad
połkupa	połkup
směr	směr
němčina	němčin
wokołk	wokołk
morchwja	morchwj
sewjerozapad	sewjerozapad
sewjer	sewjer
zapad	zapad
pobrjóh	pobrjóh
pokrok	pokrok
bydlišćo	bydlišć
zbytk	zbytk
silo	sil
činitosć	činitosć
stil	stil
podobnosć	podobnosć
kult	kult
dokład	dokład
keramika	keramik
motiw	motiw
technika	technik
hlina	hlin
tačel	tačel
muka	muk
přidawk	přidawk
chlěbpječenje	chlěbpječenj
substanca	substanc
rozpušćadło	rozpušćadł
napjatosć	napjatosć
hustosć	hustosć
atmosfera	atmosfer
absorbowadło	absorbowadł
promjenjenje	promjenjenj
ćopłota	ćopłot
klima	klim
antologija	antologij
krótkopowědančko	krótkopowědančk
złoto	złot
zak	zak
sewjerowuchod	sewjerowuchod
nižina	nižin
kromja	kromj
wotwalenje	wotwalenj
september	september
dešć	dešć
mróčel	mróčel
chronologija	chronologij
eponym	eponym
chronika	chronik
synchronizm	synchronizm
podawk	podawk
referenca	referenc
myt	myt
protyka	protyk
přir	přir
kalender	kalender
ličenje	ličenj
citat	citat
dobywanje	dobywanj
rozmach	rozmach
boh	boh
zemjedźěl	zemjedźěl
federacija	federacij
kategorija	kategorij
zarodk	zarodk
městnosć	městnosć
žito	žit
hałza	hałz
zhotowjenje	zhotowjenj
smoła	smoł
kołmaz	kołmaz
namjet	namjet
biografija	biografij
achejmenid	achejmenid
proklamacija	proklamacij
cylinder	cylinder
wjednik	wjednik
sel	sel
cokor	cokor
skutkowanje	skutkowanj
matabolizm	matabolizm
wolij	wolij
membrana	membran
wěc	wěc
architektura	architektur
namrěwstwo	namrěwstw
přełožk	přełožk
tydźeń	tydźeń
assyričan	assyričan
detail	detail
kamuška	kamušk
wuwiće	wuwić
słužba	słužb
pisar	pisar
wosoba	wosob
towaršnosć	towaršnosć
wjednistwo	wjednistw
nacionalsocialist	nacionalsocialist
diktatura	diktatur
přećiwnik	přećiwnik
politika	politik
předmjet	předmjet
metoda	metod
rozrjadowanje	rozrjadowanj
nastaće	nastać
woznam	woznam
huba	hub
chlěb	chlěb
prašenje	prašenj
korčmja	korčmj
bjesada	bjesad
směrnica	směrnic
prawidło	prawidł
pokiw	pokiw
princ	princ
spjećowanje	spjećowanj
twarjenje	twarjenj
kanal	kanal
cyrkej	cyrkej
zahroda	zahrod
rostlinarnja	rostlinarnj
napismo	napism
wobhladowak	wobhladowak
karta	kart
stupjenje	stupjenj
babylon	babylon
wobkedźbowanje	wobkedźbowanj
zaćmiće	zaćmić
wjetšina	wjetšin
juh	juh
syć	syć
zwjazanje	zwjazanj
cil	cil
ličak	ličak
wuměna	wuměn
protokol	protokol
brjóh	brjóh
předměsto	předměst
přewrót	přewrót
grjekšćina	grjekšćin
łaćonšćina	łaćonšćin
srjedźowěk	srjedźowěk
konsonant	konsonant
prapismo	prapism
papyrus	papyrus
pergament	pergament
wikisłownik	wikisłownik
rozpušćomnosć	rozpušćomnosć
pohódnoćenje	pohódnoćenj
wulkosć	wulkosć
nastajenje	nastajenj
měnjenje	měnjenj
symjeńc	symjeńc
debata	debat
wašnje	wašnj
ryba	ryb
rjapnik	rjapnik
kladistika	kladistik
pazork	pazork
łopjeno	łopjen
zawiječk	zawiječk
šěrokosć	šěrokosć
wobrazk	wobrazk
piksel	piksel
wysokosć	wysokosć
proporcija	proporcij
bok	bok
japanšćina	japanšćin
chinšćina	chinšćin
francošćina	francošćin
jendźelšćina	jendźelšćin
hindišćina	hindišćin
šwedšćina	šwedšćin
italšćina	italšćin
španšćina	španšćin
napoj	napoj
droždźe	droždź
brěčka	brěčk
jahoda	jahod
pakić	pakić
prut	prut
winowc	winowc
šmica	šmic
hybrid	hybrid
připućowanje	připućowanj
wuprawa	wupraw
gutejčan	gutejčan
cikurat	cikurat
čitanje	čitanj
mišterstwo	mišterstw
kopańca	kopańc
samotar	samotar
wjelk	wjelk
wuměłc	wuměłc
přełožowar	přełožowar
rěčka	rěčk
niwow	niwow
jězor	jězor
hudźba	hudźb
kamera	kamer
orbit	orbit
planet	planet
słónco	słónc
tři	tři
kić	kić
rozpor	rozpor
hammurabi	hammurabi
zakoń	zakoń
paragraf	paragraf
aspekt	aspekt
rozsudźenje	rozsudźenj
krutosć	krutosć
historikar	historikar
spisowaćel	spisowaćel
španišćina	španišćin
kastilšćina	kastilšćin
pućowanje	pućowanj
přećelstwo	přećelstw
wokruh	wokruh
wusyłanje	wusyłanj
podkast	podkast
center	center
wobwod	wobwod
zwisk	zwisk
susod	susod
oxygen	oxygen
kisilina	kisilin
apofonija	apofonij
morf	morf
morphem	morphem
rěčewěda	rěčewěd
poznamjenjenje	poznamjenjenj
fleksija	fleksij
prarěč	prarěč
wuskutk	wuskutk
dalokowikowanje	dalokowikowanj
delta	delt
twora	twor
lódź	lódź
karawana	karawan
wosoł	wosoł
wjelbłud	wjelbłud
měra	měr
kóń	kóń
wóz	wóz
dróha	dróh
baza	baz
diferenca	diferenc
efekt	efekt
narunanje	narunanj
reakcija	reakcij
ćěłoškódny	ćěłoškódn
ćěło	ćěł
wustajeńca	wustajeńc
muzej	muzej
opcija	opcij
rezultat	rezultat
wobjim	wobjim
dychanje	dychanj
jednobańkowc	jednobańkowc
smažnik	smažnik
rewolucionar	rewolucionar
rozpačenje	rozpačenj
swětło	swětł
fotosynteza	fotosyntez
genus	genus
numerus	numerus
pronomen	pronomen
namakanki	namakanki
koleso	koles
monokotyledon	monokotyledon
eudikotyledon	eudikotyledon
přiwuznosć	přiwuznosć
kladogram	kladogram
moch	moch
zańdźenosć	zańdźenosć
přiwuznistwo	přiwuznistw
wotrys	wotrys
serb	serb
wyšnosć	wyšnosć
rozswětlerstwo	rozswětlerstw
romantika	romantik
wozrodźenje	wozrodźenj
wědomje	wědomj
fenylpropanoid	fenylpropanoid
terpen	terpen
idioblast	idioblast
łopješko	łopješk
přirjadowanje	přirjadowanj
kružk	kružk
próšk	próšk
bencylisochinolinalkaloid	bencylisochinolinalkaloid
neolignan	neolignan
kapka	kapk
škleńca	škleńc
transpiracija	transpiracij
germanšćina	germanšćin
grupa	grup
particip	particip
karotin	karotin
cona	con
wjes	wjes
gmejna	gmejn
zjednoćenstwo	zjednoćenstw
wokrjes	wokrjes
wjeska	wjesk
wobsydlenje	wobsydlenj
ratarstwo	ratarstw
cyhel	cyhel
piktogram	piktogram
spóznaće	spóznać
podswójba	podswójb
nomad	nomad
bakterija	bakterij
mikroorganizm	mikroorganizm
wutk	wutk
koordinacija	koordinacij
krok	krok
wuwiwanje	wuwiwanj
knihiwjedstwo	knihiwjedstw
rjek	rjek
čłowjestwo	čłowjestw
prowinca	prowinc
starowěk	starowěk
unija	unij
zastupjerka	zastupjerk
hibanje	hibanj
internacionalistka	internacionalistk
předsydka	předsydk
jednotka	jednotk
přibrjóh	přibrjóh
dno	dn
smuha	smuh
kruh	kruh
wichor	wichor
mróz	mróz
pěsk	pěsk
praworóžk	praworóžk
thumb	thumb
zrěčenje	zrěčenj
protektorat	protektorat
eukaryot	eukaryot
embryofyt	embryofyt
poražka	poražk
wadźeńca	wadźeńc
žadosć	žadosć
wjeršk	wjeršk
politikar	politikar
čisło	čisł
klasa	klas
deklinacija	deklinacij
kamjeń	kamjeń
łušćina	łušćin
hydrat	hydrat
wopřijeće	wopřijeć
serwjernogermanšćina	serwjernogermanšćin
přezwuk	přezwuk
złóžka	złóžk
zjaw	zjaw
punkt	punkt
interwencja	interwencj
nocleg	nocleg
ofiara	ofiar
przemoc	przemoc
budynek	budynek
parafia	parafi
remont	remont
placówka	placówk
dotacja	dotacj
głosowanie	głosowani
wniosek	wniosek
radny	radn
udostępnienie	udostępnieni
film	film
nagranie	nagrani
sprawa	spraw
końcówka	końcówk
sesja	sesj
okres	okres
roztargnienie	roztargnieni
zapominanie	zapominani
tydzień	tydzień
zaduma	zadum
refleksja	refleksj
zawód	zawód
brat	brat
komisja	komisj
poborowa	poborow
szwagier	szwagier
teściowa	teściow
kolczyk	kolczyk
relacja	relacj
otwarcie	otwarci
ośrodek	ośrodek
numer	numer
podstawa	podstaw
tradycja	tradycj
praktyka	praktyk
pogaństwo	pogaństw
oko	ok
nadużycie	nadużyci
ksiądz	ksiądz
podwyżka	podwyżk
przemysł	przemysł
zamiennik	zamiennik
lek	lek
skutek	skutek
chemioterapia	chemioterapi
miesiąc	miesiąc
walka	walk
hotel	hotel
miłośnik	miłośnik
pięściarstwo	pięściarstw
pojedynek	pojedynek
wiewiórka	wiewiórk
bielizna	bielizn
lady	lad
koniec	koniec
odkrycie	odkryci
naukowiec	naukowiec
stosowanie	stosowani
mikstura	mikstur
ekipa	ekip
profesor	profesor
instytut	instytut
mieszanka	mieszank
zmiana	zmian
płeć	płeć
konieczność	konieczność
sukces	sukces
operacja	operacj
adaptacja	adaptacj
eksplorator	eksplorator
odkrywca	odkrywc
świat	świat
większość	większość
mieszkaniec	mieszkaniec
szczerość	szczerość
upływ	upływ
ultimatum	ultimatum
siła	sił
działanie	działani
kłopot	kłopot
kieszeń	kieszeń
fartuch	fartuch
kluczyk	kluczyk
kredens	kredens
dwór	dwór
rodzaj	rodzaj
apteczka	apteczk
całość	całość
notatka	notatk
aneks	aneks
piętro	piętr
tempo	temp
zwiedzanie	zwiedzani
zmierzch	zmierzch
człowiek	człowiek
głowa	głow
porucznik	porucznik
czwartak	czwartak
artyleria	artyleri
szosa	szos
pole	pol
wojsko	wojsk
ładunek	ładunek
odpowiedź	odpowiedź
skarb	skarb
ziemia	ziemi
książka	książk
historia	histori
temat	temat
przeszłość	przeszłość
chłopak	chłopak
lekarz	lekarz
wystawa	wystaw
portret	portret
burta	burt
statek	statek
imperatorowa	imperatorow
postać	postać
brzeg	brzeg
ptak	ptak
wyjście	wyjści
taras	taras
stół	stół
prawda	prawd
siostra	siostr
związek	związek
mama	mam
godzina	godzin
telefon	telefon
zakład	zakład
epizod	epizod
powrót	powrót
widok	widok
wał	wał
most	most
odstęp	odstęp
czas	czas
przykrość	przykrość
próba	prób
podziękowanie	podziękowani
życzenia	życzeni
rok	rok
wypadek	wypadek
władza	władz
mężczyzna	mężczyzn
samochód	samochód
baba	bab
histeria	histeri
jarmark	jarmark
pokolenie	pokoleni
ślad	ślad
sad	sad
ojciec	ojciec
majątek	majątek
rodzic	rodzic
głos	głos
naciśnięcie	naciśnięci
przycisk	przycisk
obecność	obecność
charakter	charakter
zgłoszenie	zgłoszeni
poparcie	poparci
propozycja	propozycj
gospodarka	gospodark
część	część
pegeer	pegeer
cel	cel
powiększenie	powiększeni
gospodarstwo	gospodarstw
rolnik	rolnik
państwo	państw
przyjęcie	przyjęci
uchwała	uchwał
ustawa	ustaw
wynik	wynik
senat	senat
organizowanie	organizowani
prowadzenie	prowadzeni
działalność	działalność
pan	pan
właściwość	właściwość
instytucja	instytucj
przekonanie	przekonani
praca	prac
droga	drog
następca	następc
ojczyzna	ojczyzn
porządek	porządek
rzecz	rzecz
składanie	składani
trakt	trakt
obrady	obrad
poprawka	poprawk
protest	protest
pani	pani
marszałek	marszałek
nowelizacja	nowelizacj
wybór	wybór
prezydent	prezydent
pytanie	pytani
dostosowanie	dostosowani
koncepcja	koncepcj
odmiana	odmian
kategoria	kategori
roślina	roślin
senator	senator
podanie	podani
sprawozdawca	sprawozdawc
akceptacja	akceptacj
decyzja	decyzj
izba	izb
moment	moment
sprawozdanie	sprawozdani
druk	druk
problem	problem
odrzucenie	odrzuceni
zakończenie	zakończeni
wystąpienie	wystąpieni
przyjmowanie	przyjmowani
uwaga	uwag
biuro	biur
opinia	opini
przeprowadzenie	przeprowadzeni
wydanie	wydani
miliard	miliard
premier	premier
margines	margines
komunikat	komunikat
nazwa	nazw
przepis	przepis
kierowca	kierowc
ilość	ilość
inicjatywa	inicjatyw
mocarstwo	mocarstw
negocjacja	negocjacj
zawarcie	zawarci
pokój	pokój
spotkanie	spotkani
wojna	wojn
okładka	okładk
tomik	tomik
wzrok	wzrok
bukiet	bukiet
kwiat	kwiat
rozmowa	rozmow
dyrektor	dyrektor
archiwum	archiwum
świadectwo	świadectw
wkład	wkład
zwycięstwo	zwycięstw
notes	notes
dana	dan
środek	środek
gmina	gmin
kredyt	kredyt
dofinansowanie	dofinansowani
miasto	miast
armia	armi
lawina	lawin
ratownik	ratownik
pies	pies
miejsce	miejsc
osunięcie	osunięci
kanton	kanton
stacja	stacj
zejście	zejści
zbocze	zbocz
rytm	rytm
dłoń	dłoń
góra	gór
ręka	ręk
facet	facet
wschód	wschód
poczekalnia	poczekalni
grupka	grupk
noga	nog
aktówka	aktówk
puszka	puszk
piwo	piw
tom	tom
studium	studium
autor	autor
świeczka	świeczk
zima	zim
zimno	zimn
cholera	choler
bomba	bomb
cud	cud
czort	czort
produkcja	produkcj
recepta	recept
proastmin	proastmin
policjant	policjant
apteka	aptek
destylacja	destylacj
sprzedaż	sprzedaż
partia	parti
komitet	komitet
obywatel	obywatel
okno	okn
gołąb	gołąb
parapet	parapet
pazurek	pazurek
metal	metal
równowaga	równowag
klient	klient
dziwactwo	dziwactw
wejście	wejści
bagażnik	bagażnik
walizeczka	walizeczk
papier	papier
namysł	namysł
wezwanie	wezwani
łyk	łyk
kawa	kaw
kelner	kelner
capuccino	capuccin
pieniądz	pieniądz
ogłoszenie	ogłoszeni
adres	adres
dzień	dzień
list	list
życie	życi
niespodzianka	niespodziank
spojrzenie	spojrzeni
tłum	tłum
sekretarz	sekretarz
południe	południ
zagadnienie	zagadnieni
projektowanie	projektowani
podzespół	podzespół
maszyna	maszyn
uwzględnienie	uwzględnieni
specyfika	specyfik
stan	stan
stosunki	stosunki
interes	interes
wygranie	wygrani
wybory	wybor
okazja	okazj
kadencja	kadencj
prezydentura	prezydentur
cement	cement
wapno	wapn
gips	gips
włos	włos
czoło	czoł
mąż	mąż
czapka	czapk
księżyc	księżyc
chmura	chmur
trawa	traw
świerszcz	świerszcz
gra	gr
zrozumienie	zrozumieni
kark	kark
podwórko	podwórk
namowa	namow
szkoła	szkoł
oddal	oddal
dźwięk	dźwięk
trąbka	trąbk
kopyto	kopyt
błoto	błot
futro	futr
ramię	ramię
pierś	pierś
boisko	boisk
początek	początek
mecz	mecz
piłka	piłk
przesłuchanie	przesłuchani
włamywacz	włamywacz
dziecko	dzieck
włamanie	włamani
kościół	kościół
jeden	jeden
świadek	świadek
policja	policj
uczynek	uczynek
auto	aut
kierunek	kierunek
zdrajca	zdrajc
gangrena	gangren
zniszczenie	zniszczeni
potop	potop
gruz	gruz
świątynia	świątyni
kamień	kamień
stopka	stopk
królowa	królow
rozważanie	rozważani
los	los
pamiątka	pamiątk
nadzieja	nadziej
panna	pann
zaproszenie	zaproszeni
krzesło	krzesł
zjedzenie	zjedzeni
mieszkanie	mieszkani
nastrój	nastrój
warkot	warkot
motor	motor
ulica	ulic
brzęk	brzęk
szyba	szyb
dym	dym
kurz	kurz
podłoga	podłog
potwierdzenie	potwierdzeni
sztab	sztab
pocisk	pocisk
informacja	informacj
mysz	mysz
las	las
kieliszek	kieliszek
plan	plan
klub	klub
tłumacz	tłumacz
piłkarz	piłkarz
sierżant	sierżant
posterunkowy	posterunkow
październik	październik
